Address,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Total Rooms,Bedrooms,Floors,Total Floors,Basement(kelder),Attic(zolder),Loft(vliering),Energy label,Position,Garden,Estimated neighbourhood price per m2
Bovenweg 223,Sint Pancras,525000,251,135,1972,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,D,,"Achtertuin, tuin en zijtuin",6035
Juliastraat 19,Waddinxveen,425000,181,109,1935,Bestaande bouw,"Herenhuis, geschakelde 2-onder-1-kapwoning",Schilddak bedekt met bitumineuze dakbedekking en pannen,4,3,3 woonlagen,3,0,0,0,E,Aan rustige weg en in woonwijk,Achtertuin en tuin,1435
Kuipersgilde 3,Houten,575000,198,138,1986,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,B,Aan rustige weg en in woonwijk,Achtertuin,1855
De Kamp 1 A,Pannerden,259500,231,92,1989,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5,3,3 woonlagen,3,0,0,0,B,Aan rustige weg en in woonwijk,"Achtertuin, tuin en zijtuin",219
Wildrijklaan 8,Sassenheim,1050000,423,210,2000,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Schilddak bedekt met pannen,6,5,4 woonlagen en een kelder,4,1,0,0,A,"Aan rustige weg, aan water, beschutte ligging, in woonwijk en vrij uitzicht","Achtertuin, tuin en zijtuin",134
Tol 4,Oudewater,445000,127,126,2016,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,5,4,3 woonlagen,3,0,0,0,A,In woonwijk,Achtertuin en tuin,1745
Furkabaan 698,Utrecht,425000,170,87,1984,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5,3,2 woonlagen en een vliering,2,0,0,1,C,In woonwijk,Achtertuin en tuin,708
Abeelstraat 71,Dordrecht,825000,413,232,1974,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7,6,3 woonlagen,3,0,0,0,D,In woonwijk,Achtertuin en tuin,509
Overegge 8,Zuidveen,249500,235,124,1920,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak,5,4,2 woonlagen,2,0,0,0,G,"Aan rustige weg, beschutte ligging en in centrum",tuin en zijtuin,580
Gaasterland 59,Amstelveen,550000,137,111,1992,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak,4,3,3 woonlagen,3,0,0,0,A,Aan rustige weg en in woonwijk,Achtertuin en tuin,204
